R,G,B,H,H,S,V,L,A,B,MK,STDDEV,VRES,SRES,LCCP0_C,LCCP0_S,LCCP0_N,0_CT,0_ST,LCCP1_C,LCCP1_S,LCCP1_N,1_CT,1_ST,WL,WC,WV,L,C,V,K,,,
183,90,86,79,102,120,125,"[85, 153]",159,85,56,2.29700050671585,0.00563491758439229,0.0220120625972263,0.236295150069548,0.728879286144787,0.401856540402557,15.2003799617275,0.280996275298354,0.00168965599849669,0.408029359533206,0.767017186838161,14.7654150940835,0.526468927137189,0.791802285455897,0.352120130912227,0.338105395281213,"[0.009689336969224981, 0.022973052687383685]","[0.5002571618334812, 1.2113765938912184]","[1.597309270760461e-07, 7.882582153192403e-07]",2,-1,1,0
100,124,96,72,103,97,87,"[11, 229]",107,108,46,1.55170289973513,0.00749462901645768,0.0345353411403974,0.20542618214732,0.28786864391095,0.581815626997392,13.5466025958521,0.870756960914758,0.0280492712274886,0.789731407343322,0.627524208595532,19.4064313532436,0.88522122203884,0.970516482852695,0.693206322517153,0.828131811654063,"[0.0065672142504115865, 0.02321306486169516]","[0.5460833897894986, 1.3166196643083599]","[1.1964084751590517e-07, 1.1194453908107938e-06]",4,5,15,21
184,72,77,48,147,97,96,"[61, 207]",126,134,40,1.48431029739485,0.00656986517301291,0.0271078705408891,0.172775511429733,0.497961733278802,0.308401581260155,50.5713749677885,0.411672230490118,0.148300185679561,0.258571395701326,0.277201877027642,138.559735252961,0.675834252979692,0.831103254167263,0.708461354107791,0.58303831792754,"[0.005309610796375234, 0.024344425169460587]","[0.7741773205576067, 1.2813418199010873]","[9.986383282993005e-08, 8.18599948509112e-07]",3,-1,2,2
189,149,71,66,116,79,54,"[25, 152]",129,81,67,2.05042626833962,0.00685594041552094,0.0190858957043591,0.302108409273873,0.408466073111147,0.509201074643481,15.8385148455064,0.791619095450835,0.124162445518374,0.704012417674876,0.664218253795333,165.304322169692,0.553639574646643,0.104882572979763,0.942714278677188,0.763401810652636,"[0.005055343430553496, 0.022415843943617734]","[0.765560042473574, 1.5444488599963175]","[4.214347751690959e-08, 7.568164279806891e-07]",4,2,9,12
191,108,86,33,146,71,140,"[92, 162]",93,56,94,2.45406698556303,0.00639975369873759,0.0241767440001053,0.238883231439617,0.45465686912611,0.627789273455357,76.0690435587297,0.235753123762497,0.261032914813169,0.796550201688744,0.254198772374576,163.009834665369,0.140597082950297,0.990744081480479,0.234629375261961,0.671742889834203,"[0.009159145167274934, 0.022644490915561134]","[0.40202676309003044, 1.3840450664422552]","[2.452453494728958e-07, 1.292457505099441e-06]",4,-1,1,1
104,82,137,22,140,77,86,"[54, 237]",118,21,77,2.37020371515245,0.00500827588896496,0.0323270537334658,0.342649702771029,0.440437963583076,0.513721719523769,142.157375789849,0.161811069959523,0.377483371375029,0.384796851038232,0.445205602728843,153.025757720434,0.888588742790921,0.806733521940885,0.574019858434226,0.649036134274313,"[0.007205610778553171, 0.02060801099784022]","[0.46931091530841695, 1.4441955994290492]","[1.0231373185808083e-07, 1.1557451996770743e-06]",4,5,1,1
157,61,146,8,109,133,58,"[98, 181]",96,125,95,1.17084766638117,0.00715186740007627,0.0345501137899817,0.272547622552427,0.763432438377057,0.270565212983383,20.2814503694363,0.0202669093346763,0.215198909161206,0.652231246958504,0.40865480678515,12.2260075582202,0.352545880663127,0.773100673675301,0.424164132404901,0.605816633514665,"[0.009011480780317686, 0.022509233668426318]","[0.6894831605270801, 1.3336490190658232]","[2.6104791720101762e-08, 1.2667260750728397e-06]",3,-1,2,25
175,65,58,55,138,141,81,"[67, 204]",41,9,40,2.23454071080808,0.00534621226982326,0.0370753865430579,0.176413423566537,0.473942297259493,0.494209871808439,62.8469694286008,0.145735460476973,0.05565867560539,0.434895151080465,0.729328592986709,159.726469275232,0.877807498715801,0.370211974808675,0.33272399209835,0.406682670681399,"[0.009581987831311029, 0.02112765656854991]","[0.6324859951262399, 1.5038166267914628]","[2.118196524462028e-07, 7.840109839140891e-07]",2,-1,1,1
140,121,132,27,144,132,147,"[12, 150]",50,16,51,2.67946977458889,0.00512208400747093,0.0357015298377657,0.137511813960619,0.797414681394965,0.553945125206443,48.9183488935762,0.433568337595957,0.07965449221787,0.219008548201409,0.592129244490868,130.305265798759,0.508794024480252,0.876893434331071,0.210627862653925,0.202585255482181,"[0.0077392932681193145, 0.021265874358582217]","[0.40044553634248814, 1.3544548695163567]","[1.1070044597012815e-07, 8.597832371436495e-07]",2,6,1,1
153,149,109,72,146,116,114,"[73, 239]",10,134,44,2.31078952488387,0.00757429225603355,0.0218763355445829,0.139130837268394,0.784807504492953,0.231351383257083,90.3116788945432,0.214009967763092,0.335324879758699,0.582151506533911,0.700589768307806,75.534391800846,0.794371839714972,0.761505394143704,0.274172315020474,0.914360235675096,"[0.006135179367655014, 0.020359514565123655]","[0.7555286197887627, 1.4232039588055452]","[2.2272021477150803e-07, 9.72355672968518e-07]",4,1,1,1
198,75,137,30,105,66,115,"[56, 208]",100,23,45,1.22430710800822,0.00508673376611492,0.0392702237020708,0.31862414365038,0.700703484179166,0.693618485471035,86.7391517963574,0.377938276648154,0.122416388159051,0.579490269856081,0.23737499212824,150.216281627211,0.429727911939706,0.888062129503768,0.247673008090235,0.285525413078088,"[0.006251177426877005, 0.024721697695719684]","[0.5936560022553832, 1.3449459053173896]","[2.403855594470502e-07, 9.496079614867645e-07]",1,-1,3,1
180,135,87,64,158,99,71,"[35, 251]",38,19,77,1.6214635305649,0.00675453188077878,0.0307047563592327,0.316280943143201,0.261634936414269,0.602889099757161,86.2510181851791,0.0275534628938655,0.164804465909826,0.483458197681666,0.298747783838479,117.809308691289,0.707329269057734,0.871046922879996,0.179852390308951,0.704980856659711,"[0.005685158445497312, 0.024976550456404917]","[0.5163640117006805, 1.3908894608857698]","[1.1460487728724819e-07, 1.0586411407708564e-06]",3,1,1,1
148,124,121,31,154,101,70,"[86, 237]",125,26,99,2.4489549298433,0.00616061108229185,0.0279416242765392,0.0271685795043103,0.220959750279768,0.420564909668133,60.6324392984954,0.62667846085626,0.169055124092546,0.530689933665679,0.79519657679547,20.8555157485583,0.223737530852749,0.714738490052167,0.710260164559475,0.184872061496613,"[0.009739847627176623, 0.0219439307370608]","[0.7971866909688493, 1.59821653413478]","[4.938266755576057e-08, 7.671023196960822e-07]",2,8,12,22
161,84,112,33,110,98,145,"[39, 180]",8,11,44,2.5319760560488,0.00776632112974357,0.0166565022897773,0.00907971228697906,0.620797840792149,0.441849768769745,120.539483262402,0.248502714121399,0.140282734189086,0.702771833693169,0.298744972710392,157.239583484499,0.482215605471752,0.135318835323562,0.429014270878134,0.799901044354607,"[0.00900011583866348, 0.02125668501353131]","[0.6503487431437862, 1.2927612395286254]","[1.5081793259952813e-07, 1.4599432131395463e-06]",1,1,1,1
140,114,144,9,125,139,117,"[25, 220]",8,40,68,2.62178114104627,0.0053967156460332,0.0176151069105445,0.141853576265165,0.613615137937395,0.254193191894012,31.3757459248576,0.123142052898192,0.15504029422241,0.213795860330303,0.716893648150266,91.4687231116459,0.578753754510005,0.666065874058873,0.867833854975004,0.285901904056706,"[0.009553625519151739, 0.02373817658999656]","[0.646007409986456, 1.2957630336625348]","[1.0271032902312334e-07, 1.2049623678735526e-06]",3,4,1,2
122,128,56,23,160,76,85,"[88, 227]",49,128,53,1.59547070236488,0.00688278062698977,0.0389439784244652,0.119014580257063,0.360136024761119,0.743729638694587,80.0063381509532,0.930132291414529,0.0281201575553228,0.65104029480277,0.411806277715858,146.296667181216,0.439368917959149,0.299045345577678,0.773529841140914,0.265501410656041,"[0.007424435711913453, 0.02270233406426108]","[0.6584009542334952, 1.4211358403236154]","[2.2870060059946397e-07, 9.731433273081406e-07]",1,1,1,1
